客户次类别,每房人数,客户主类别,新教比例,无宗教比例,已婚占比,同居占比,其它关系占比,单身占比,有子女,高等教育,中等教育,低等教育,高管,企业家,农场主,中层管理者,技术工人,非熟练劳工,社会阶层A,社会阶层B1,社会阶层C,社会阶层D,租房子,房主,一辆车,无车,公共社保,私人社保,收入低于30,收入45-75,收入75-122,平均收入,购买力水平,个人第三方保险,农业第三方险,投保车险,投保房车险,投保拖拉机险,投保农机险,投保机动自行车险,投保寿险,投保家庭意外险,投保身残险,投保火险,投保冲浪险,投保船险,投保自行车险,投保社会安全险,第三方私人险数量,第三方农业险数量,投保车险数量,投保拖拉机险数量,投保农机险数量,投保机动自行车险数量,投保寿险数量,投保家庭意外险数量,投保身残险数量,投保火险数量,投保冲浪险数量,投保船险数量,投保自行车险数量,投保财产险数量,投保社会安全险数量,移动房车险数量
36,2,8,5,3,7,0,2,2,3,2,3,4,2,0,0,3,4,2,1,1,5,0,7,2,6,2,6,3,2,3,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,3,7,0,9,0,0,0,8,2,4,4,2,0,0,2,5,0,2,0,5,0,4,5,9,0,7,2,0,5,0,5,7,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,2,8,7,2,5,1,4,4,5,0,2,7,0,0,1,2,6,1,0,2,7,1,8,1,5,4,8,1,5,2,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,8,9,0,9,0,0,0,7,0,3,6,3,0,0,2,5,0,2,2,5,0,0,9,6,0,3,6,0,4,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
40,5,10,1,3,9,0,0,0,8,0,6,3,1,0,6,3,0,0,3,1,0,0,0,9,6,0,9,0,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,4,3,6,3,6,1,3,1,8,2,6,2,2,1,0,5,0,3,2,3,2,1,4,5,5,2,5,4,2,4,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,2,5,4,7,0,2,1,4,4,5,1,4,0,0,4,0,1,2,1,3,0,7,2,6,2,5,4,1,8,0,5,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,5,7,2,6,0,3,3,4,2,3,4,0,2,0,3,4,0,3,2,5,0,0,9,7,0,7,2,4,4,0,3,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,3,2,5,3,7,1,2,2,4,1,3,5,2,0,2,2,2,3,2,2,3,2,1,8,6,2,5,4,3,3,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,5,4,4,7,1,1,1,6,1,2,7,0,0,0,2,5,3,0,1,6,3,8,1,5,4,7,2,2,2,1,3,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,9,7,0,9,0,0,2,2,2,5,2,1,0,0,3,3,3,1,2,4,1,6,3,7,2,7,2,1,3,2,6,5,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
10,5,3,5,4,9,0,0,0,8,5,4,0,7,0,0,2,0,0,7,0,0,0,0,9,9,0,4,5,0,9,0,5,8,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,3,3,3,5,9,0,0,0,6,1,7,2,1,1,0,8,1,1,1,2,5,0,5,4,6,3,5,4,2,2,0,3,7,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
41,3,10,5,4,7,0,2,1,4,2,4,3,3,0,3,2,2,1,4,2,2,0,2,7,8,0,5,4,2,4,1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,5,4,4,7,1,2,8,1,5,4,0,1,0,0,3,3,3,0,5,3,0,8,1,7,2,6,3,3,1,0,3,3,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,3,8,7,2,7,2,0,0,5,0,2,7,0,2,0,2,4,2,0,0,5,0,2,7,5,0,9,0,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,7,0,7,1,2,1,5,0,4,5,2,1,0,3,2,3,1,3,4,1,0,9,6,2,5,4,0,3,1,4,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2,3,4,5,5,1,4,3,2,0,4,5,1,1,2,4,3,1,1,3,3,1,2,7,5,4,7,2,5,2,0,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,2,5,5,4,4,3,2,2,1,1,5,4,1,0,0,5,1,4,1,2,4,0,9,0,7,1,8,1,4,2,2,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,8,2,5,7,0,2,0,7,0,4,5,0,0,0,0,9,0,0,0,9,0,9,0,5,4,9,0,4,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,7,5,3,6,0,3,3,3,0,1,8,0,0,0,4,0,5,0,1,5,3,9,0,7,2,9,0,6,1,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,3,8,4,4,6,1,3,1,4,1,5,3,1,0,1,4,2,3,1,3,2,1,2,7,4,5,7,2,2,3,1,5,4,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,3,9,3,4,6,1,2,1,7,0,3,6,0,0,0,2,2,6,0,1,7,1,9,0,7,2,7,2,6,1,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2,3,9,0,9,0,0,0,4,0,5,4,7,0,0,2,0,0,0,4,5,0,0,9,9,0,7,2,0,2,4,6,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,2,7,3,3,5,1,4,4,4,1,3,6,2,1,1,3,2,3,1,2,4,2,2,7,5,4,6,3,3,2,1,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,6,2,9,0,0,0,6,5,3,2,4,0,0,5,0,0,3,2,2,0,0,9,7,0,2,7,0,0,4,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,2,5,5,3,3,3,4,4,3,2,5,2,2,0,0,3,1,4,1,3,2,1,8,1,6,3,8,1,4,3,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,9,9,0,5,0,4,0,4,0,0,9,0,0,2,0,3,5,0,0,9,0,9,0,3,4,7,2,9,0,0,2,3,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2,9,5,1,6,1,3,3,3,2,5,3,2,0,0,5,1,2,1,2,4,1,7,2,5,3,6,3,5,2,1,3,4,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
37,3,8,5,4,8,0,1,0,6,0,3,6,0,2,0,5,3,1,0,2,4,1,1,8,8,0,8,1,0,3,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,5,5,3,4,1,5,4,3,1,3,5,1,0,1,2,3,4,1,2,5,1,5,4,5,3,8,1,5,2,0,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,3,2,7,9,0,0,0,9,0,3,6,0,0,0,7,0,2,0,2,6,2,0,9,9,0,9,0,2,5,2,5,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,5,3,6,5,2,3,3,5,1,4,5,1,0,0,3,4,2,1,2,5,1,8,1,6,2,8,1,6,1,0,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1,5,5,2,1,4,5,5,1,1,6,2,1,0,0,6,1,3,1,4,3,0,9,0,3,4,6,3,3,3,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,3,8,4,4,7,1,2,4,2,0,4,5,0,0,0,9,0,0,0,4,5,0,7,2,6,1,5,4,5,0,0,3,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2,8,5,3,6,1,3,2,4,2,2,6,2,0,0,2,3,3,2,1,5,1,5,4,6,2,6,3,3,2,2,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,3,9,4,5,9,0,0,0,5,1,2,7,1,0,0,3,5,2,1,2,7,1,4,5,6,2,7,2,2,2,1,4,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10,3,3,5,4,7,2,0,0,5,4,4,2,1,0,0,6,1,2,1,3,3,1,7,2,9,0,5,4,2,4,2,5,8,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,3,10,7,2,6,0,3,2,5,0,5,5,3,0,5,1,0,1,3,1,1,0,0,9,3,3,2,7,2,3,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,4,4,7,2,1,0,6,2,5,2,5,1,0,3,1,1,3,2,1,1,1,8,6,3,4,5,1,6,2,6,7,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,2,6,5,2,6,0,3,3,1,1,4,5,1,0,0,5,2,2,1,3,4,3,7,2,7,2,9,0,5,2,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1,3,4,6,0,3,3,3,2,4,4,5,0,3,2,0,0,3,2,2,0,7,2,5,3,4,5,3,5,0,4,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,3,7,3,6,7,0,2,2,4,0,3,6,4,0,0,0,3,3,3,0,3,2,9,0,4,3,9,0,3,2,1,3,1,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2,9,4,5,7,0,2,2,2,3,5,1,6,1,0,2,0,1,6,0,2,0,6,3,7,0,3,6,2,4,1,5,4,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
33,3,8,4,4,8,1,0,0,7,0,3,6,0,0,0,4,3,3,0,1,6,0,3,6,6,0,9,0,2,2,2,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,8,5,3,7,0,2,1,6,1,2,7,1,0,1,2,5,2,1,1,6,1,1,8,8,1,8,1,0,5,0,4,3,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,2,1,3,6,3,4,2,2,2,4,3,2,8,0,0,1,1,0,5,2,1,0,0,9,9,0,2,7,0,1,3,5,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
11,2,3,3,2,9,0,0,3,1,3,6,0,2,0,0,0,4,4,3,0,4,0,3,6,7,1,5,4,3,3,3,6,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,5,3,4,6,1,2,2,5,0,4,5,2,0,0,0,5,3,0,1,3,1,4,5,5,3,7,2,2,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,3,6,3,6,0,3,2,4,4,3,2,7,0,0,0,2,0,7,0,2,0,0,9,9,0,4,5,0,4,0,4,6,2,0,6,0,0,0,0,5,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
5,3,1,9,0,9,0,0,0,3,0,6,3,4,0,0,4,0,3,3,0,3,0,4,6,9,0,6,4,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,9,7,2,9,0,0,0,3,1,4,5,3,1,3,1,2,1,2,1,2,0,2,7,6,0,5,4,5,0,1,4,4,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,1,5,3,5,1,4,3,4,2,2,6,1,1,1,2,4,2,1,1,5,1,4,5,6,2,7,2,3,2,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,2,3,3,8,0,1,2,6,4,5,0,5,0,0,3,0,2,5,2,2,0,5,4,4,4,1,8,2,4,3,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,3,4,5,9,0,0,0,8,1,2,7,1,0,0,2,4,2,1,1,6,1,6,3,8,1,7,2,2,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,8,4,5,5,2,3,2,6,0,4,5,0,0,0,4,4,1,0,0,7,1,1,8,6,2,8,1,4,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,2,1,6,8,0,1,1,6,2,3,4,2,0,0,3,4,1,2,3,4,1,5,4,7,0,7,2,1,5,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,8,2,6,6,0,3,3,4,0,4,5,1,0,0,3,5,2,1,2,7,1,8,1,5,4,9,0,0,9,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,7,3,6,2,0,7,6,3,0,2,7,4,0,0,0,0,5,0,2,7,0,6,3,3,6,7,2,7,2,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,6,5,2,2,1,7,7,0,0,0,9,0,0,1,2,5,2,0,0,6,3,9,0,1,8,8,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,7,6,4,6,0,3,0,8,0,4,5,0,0,0,4,2,4,0,2,3,2,9,0,6,0,9,0,2,2,0,3,1,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,3,8,4,3,7,1,2,2,4,1,3,5,1,1,1,2,3,3,2,2,4,1,4,5,6,2,7,2,1,4,1,4,3,2,0,6,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,3,8,5,3,7,0,2,1,2,2,3,5,3,0,1,2,4,1,2,2,3,2,2,7,6,2,6,3,2,4,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,8,6,2,6,0,3,2,5,1,2,6,1,0,1,4,2,4,1,2,5,2,2,7,7,2,7,2,0,5,0,4,3,2,0,6,0,0,0,0,6,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
8,3,2,6,2,9,0,0,0,6,5,3,2,4,0,0,5,0,0,3,2,2,0,0,9,7,0,2,7,0,0,4,7,7,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
22,2,5,8,1,2,2,6,4,2,1,4,4,2,0,0,3,1,4,2,2,4,0,9,0,7,2,6,3,5,1,0,2,2,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,2,7,9,0,5,0,4,4,3,0,3,6,0,0,2,0,3,5,2,0,5,3,0,9,3,4,7,2,5,4,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1,6,3,6,0,3,3,2,1,5,3,1,0,1,4,4,0,1,0,2,3,8,1,4,3,4,5,3,3,3,5,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,2,5,6,2,1,2,6,3,3,2,5,3,1,0,0,5,2,2,1,4,3,0,9,0,5,3,5,4,4,3,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,8,5,4,6,1,3,2,3,1,3,6,2,0,1,4,3,2,1,2,4,2,4,5,4,5,7,2,5,2,1,3,4,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
22,2,5,6,2,7,1,2,5,2,0,5,4,0,0,0,0,9,0,0,0,6,3,5,4,7,2,7,2,3,0,3,4,2,2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,2,5,4,4,2,3,4,3,2,1,5,4,1,0,0,2,2,4,1,1,4,2,8,1,6,3,8,1,5,1,0,2,2,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1,3,3,5,1,3,3,3,3,4,3,4,1,0,3,1,2,3,2,3,1,1,8,6,2,4,5,3,3,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,8,9,0,5,0,4,2,4,0,3,6,0,0,2,0,3,5,1,0,7,2,4,5,3,4,7,2,6,2,0,2,6,2,0,5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,3,8,5,3,6,2,1,0,6,0,6,3,3,0,5,2,0,0,2,4,0,0,0,9,6,2,6,3,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,2,9,4,4,6,2,3,3,3,1,4,5,1,1,0,3,2,4,1,2,5,1,5,4,6,3,7,2,3,3,1,3,5,2,0,6,0,0,0,0,3,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
33,2,8,5,2,6,1,2,1,5,4,1,5,2,0,0,3,3,2,3,1,2,0,3,6,7,2,8,1,2,2,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,8,7,2,7,2,0,0,5,0,2,7,0,2,0,2,4,2,0,0,5,0,2,7,5,0,9,0,0,4,0,4,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3,9,5,3,7,1,2,0,6,0,3,6,0,0,0,0,6,3,0,0,9,0,5,4,9,0,5,4,0,0,0,3,5,2,0,6,0,0,0,0,3,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0
31,2,7,5,2,9,0,0,0,3,3,5,2,2,0,0,7,0,1,1,2,3,0,5,4,7,0,7,2,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,4,5,4,4,7,1,2,0,7,2,0,7,5,0,0,2,0,3,2,2,2,0,6,3,6,1,5,4,7,0,0,2,2,2,0,6,0,3,0,0,0,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
6,3,2,6,3,9,0,0,0,5,8,1,0,9,0,0,0,0,0,9,0,0,0,0,9,7,0,2,7,0,3,5,7,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,8,4,5,9,0,0,0,4,3,4,3,2,0,0,5,2,1,2,1,4,1,2,7,5,0,5,4,0,3,2,8,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,3,7,5,3,6,1,2,2,4,2,2,6,2,1,1,2,3,2,2,1,4,2,6,3,6,3,7,2,3,2,1,3,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,3,1,4,5,6,0,3,3,5,3,2,4,6,2,0,1,1,0,4,1,3,0,3,6,6,1,3,6,3,4,1,6,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,5,5,4,7,0,2,0,7,2,1,7,0,2,0,1,1,5,2,0,7,0,4,5,6,2,7,2,0,3,0,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,8,3,4,6,3,1,1,3,2,4,3,1,0,1,6,1,2,1,3,2,1,2,7,4,5,7,2,3,2,2,4,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,1,7,7,1,5,0,4,6,2,1,3,6,1,0,0,1,1,8,1,1,4,5,8,1,3,6,9,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2,9,4,3,5,1,3,2,3,0,3,6,1,0,1,2,2,5,1,1,5,3,8,1,6,3,6,3,4,1,0,3,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
40,3,10,0,0,9,0,0,0,4,0,0,9,0,0,5,0,0,4,0,0,4,0,0,9,9,0,9,0,4,4,2,4,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,7,5,2,5,1,3,3,4,2,4,4,2,1,1,4,2,2,2,2,2,2,4,5,4,3,6,3,2,4,1,4,1,1,0,5,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3,3,1,5,3,8,0,1,1,6,1,4,5,2,1,1,4,2,2,1,3,6,0,7,2,7,2,8,1,1,2,0,4,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2,2,6,3,6,0,3,4,5,3,4,3,2,2,0,6,0,0,3,1,2,0,9,0,9,0,2,7,6,2,0,4,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
24,2,5,3,5,4,2,3,2,2,5,2,3,0,0,0,5,2,3,4,3,3,0,5,4,2,7,7,2,4,2,2,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,3,8,4,5,7,0,2,2,6,0,2,7,0,0,0,3,6,0,0,1,6,2,4,5,5,3,8,1,3,2,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,2,3,2,9,0,0,0,6,5,3,2,7,0,0,2,0,1,7,1,2,0,0,9,5,0,2,7,0,4,1,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,3,3,2,5,7,1,1,1,5,3,5,2,3,1,0,4,2,2,2,3,2,1,3,6,7,2,5,4,2,4,2,5,6,2,0,5,0,0,0,0,2,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
38,2,9,4,5,7,0,2,2,2,3,5,1,6,1,0,2,0,1,6,0,2,0,6,3,7,0,3,6,2,4,1,5,4,2,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
33,4,8,5,3,9,0,0,0,6,2,4,3,2,0,0,4,2,2,2,2,3,0,0,9,5,4,7,2,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,2,8,6,3,6,0,3,2,3,1,3,5,5,1,1,2,2,1,2,1,3,0,1,8,5,3,6,3,5,1,1,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2,1,7,0,6,0,3,2,3,0,5,5,3,2,0,2,2,2,0,4,0,0,2,7,5,3,0,9,1,3,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,3,5,4,7,0,2,2,3,0,7,2,0,0,0,7,0,2,0,3,2,0,9,0,9,0,9,0,4,0,0,3,4,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,3,3,2,4,7,0,2,1,4,3,5,2,2,0,0,4,1,3,1,3,3,1,5,4,7,2,6,3,3,3,1,4,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,3,3,5,7,1,2,1,7,1,2,7,0,0,0,3,3,4,0,1,6,3,8,1,6,3,7,2,2,2,1,3,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
